codigo;item;item_ipca
1106004;ABACATE;Abacate
1103020;ABO. ITALIANA;Abobrinha
;ABO. MENINA;
;ABO. MOGANGA;
1106003;ABACAXI;Abacaxi
1105001;ALFACE;Alface
1116010;ALHO BRASILEIRO;Alho
;BANANA-NANICA;
1106008;BANANA-PRATA;Banana - prata
1103003;BATATA;Batata-inglesa
1103002;BATATA-DOCE;Batata-doce
;BERINJELA;
;BETERRABA;
1105019;BROCOLO;Brócolis
1103043;CEBOLA;Cebola
1103044;CENOURA;Cenoura
;CHUCHU;
;COCO VERDE;
1105005;COUVE;Couve
1105006;COUVE-FLOR;Couve-flor
;ESPINAFRE;
1106084;GOIABA;Goiaba
1103004;INHAME;Inhame
;JILO;
1106039;LARANJA;Laranja - pera
1106015;LIMAO;Limão
1106017;MACA;Maçã
1106018;MAMAO-FORMOSA;Mamão
;MAMAO-HAVAI;
1103005;MANDIOCA;Mandioca (aipim)
;MANDIOQUINHA;
1106019;MANGA;Manga
1106020;MARACUJA;Maracujá
1106021;MELANCIA;Melancia
1106022;MELAO;Melão
;MILHO-VERDE;
;MORANGA;
1106051;MORANGO;Morango
1110044;OVOS;Ovo de galinha
1103025;PEPINO;Pepino
1106023;PERA;Pera
1103026;PIMENTAO;Pimentão
;QUIABO;
1105010;REPOLHO;Repolho
1106027;TANGERINA;Tangerina
1103028;TOMATE;Tomate
1106028;UVA;Uva
;VAGEM;
